post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_aioseo_title,meta:_aioseo_description,meta:_aioseo_keywords,meta:_aioseo_og_title,meta:_aioseo_og_description,meta:_aioseo_twitter_title,meta:_aioseo_og_article_tags,meta:_aioseo_twitter_description,tax:brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,"attribute:Arrangement Size","attribute_data:Arrangement Size","attribute_default:Arrangement Size","attribute:Basket Size","attribute_data:Basket Size","attribute_default:Basket Size","attribute:Basket size","attribute_data:Basket size","attribute_default:Basket size","attribute:Bouquet Size","attribute_data:Bouquet Size","attribute_default:Bouquet Size","attribute:Box Size","attribute_data:Box Size","attribute_default:Box Size","attribute:Gift Size","attribute_data:Gift Size","attribute_default:Gift Size","attribute:Plant Size","attribute_data:Plant Size","attribute_default:Plant Size","attribute:Product Size","attribute_data:Product Size","attribute_default:Product Size",attribute:Size,attribute_data:Size,attribute_default:Size,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_ewd_uwcf_colors,attribute_data:pa_ewd_uwcf_colors,attribute_default:pa_ewd_uwcf_colors,attribute:pa_ewd_uwcf_sizes,attribute_data:pa_ewd_uwcf_sizes,attribute_default:pa_ewd_uwcf_sizes
"Balloon on a Stick",balloon-on-a-stick,,22372,,"Add a balloon to your gift, and make it more special!",publish,,0,"2017-02-27 14:22:03",1,open,22372,,,,no,no,,5,,,,,,,visible,instock,no,yes,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Baloons-Gift.jpg ! alt : Baloons Gift ! title : Baloons Gift ! desc : Baloons Gift ! caption : Baloons Gift",,https://www.cosmeagardens.com/product/balloon-on-a-stick/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foil Balloon",foil-balloons,,22471,,"Add a foil balloon to your order",publish,,0,"2017-02-27 14:20:18",1,open,22471,,,,no,no,,10,,,,,,,visible,instock,no,yes,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Foil-Baloons-Gift.jpg ! alt : Foil Baloons Gift ! title : Foil Baloons Gift ! desc : Foil Baloons Gift ! caption : Foil Baloons Gift",,https://www.cosmeagardens.com/product/foil-balloons/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,1||,,,2||,
"Box of Chocolates (Small)",box-of-chocolates,,22474,,"Add a box of Chocolates to your order, and make it more special!",publish,,0,"2017-02-27 10:39:27",1,open,22474,,,,no,no,,10,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/47cbadc321f794744ba89d6bb55c9af25a8b35a8_100111527_1.jpg ! alt : 47cbadc321f794744ba89d6bb55c9af25a8b35a8 100111527 1 ! title : 47cbadc321f794744ba89d6bb55c9af25a8b35a8 100111527 1 ! desc : 47cbadc321f794744ba89d6bb55c9af25a8b35a8 100111527 1 ! caption : 47cbadc321f794744ba89d6bb55c9af25a8b35a8 100111527 1",,https://www.cosmeagardens.com/product/box-of-chocolates/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,1||,,,2||,
"Box of Chocolates (Big)",box-of-chocolates-big,,22476,,"Add a box of Chocolates to your order, and make it more special!",publish,,0,"2017-02-27 10:46:25",1,open,22476,,,,no,no,,15,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/47cbadc321f794744ba89d6bb55c9af25a8b35a8_100111527_1.jpg ! alt : 47cbadc321f794744ba89d6bb55c9af25a8b35a8 100111527 1 ! title : 47cbadc321f794744ba89d6bb55c9af25a8b35a8 100111527 1 ! desc : 47cbadc321f794744ba89d6bb55c9af25a8b35a8 100111527 1 ! caption : 47cbadc321f794744ba89d6bb55c9af25a8b35a8 100111527 1",,https://www.cosmeagardens.com/product/box-of-chocolates-big/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,1||,,,2||,
"Aes Ambelis White Wine",white-wine,,22478,,"Add a White Wine to your order.",publish,,0,"2017-02-27 13:49:42",1,open,22478,,,,no,no,,15,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/White-Wine-Gift.jpg ! alt : White Wine Gift ! title : White Wine Gift ! desc : White Wine Gift ! caption : White Wine Gift",,https://www.cosmeagardens.com/product/white-wine/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,3||,,,3||,
"Aes Ambelis Red Wine",red-wine,,22479,,"Add a Red Wine to your order.",publish,,0,"2017-02-27 13:56:31",1,open,22479,,,,no,no,,15,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Red-Wine-Gift.jpg ! alt : Red Wine Gift ! title : Red Wine Gift ! desc : Red Wine Gift ! caption : Red Wine Gift",,https://www.cosmeagardens.com/product/red-wine/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,3||,,,3||,
"Martini Asti 75cl",martini-asti-75cl,,22482,,"Add a Sparkling Wine to your order.",publish,,0,"2017-02-27 14:40:06",1,open,22482,,,,no,no,,20,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Martini-Spirit-Gift.jpg ! alt : Martini Spirit Gift ! title : Martini Spirit Gift ! desc : Martini Spirit Gift ! caption : Martini Spirit Gift",,https://www.cosmeagardens.com/product/martini-asti-75cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,
"Moet&amp;Chandon 35cl",moetchandon-20cl,,22483,,"A Champagne is always welcomed!",publish,,0,"2017-02-27 14:46:29",1,open,22483,,,,no,no,,40,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Moet-Chandon-Campagne-Small-Gift.jpg ! alt : Moet Chandon Campagne Small Gift ! title : Moet Chandon Campagne Small Gift ! desc : Moet Chandon Campagne Small Gift ! caption : Moet Chandon Campagne Small Gift",,https://www.cosmeagardens.com/product/moetchandon-20cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,1||,,,2||,
"Moet&Chandon 75cl",moetchandon-75cl,,22485,,"A Champagne is always welcomed!",publish,,0,"2017-02-27 14:49:36",1,open,22485,,,,no,no,,60,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Moet-Chandon-Campagne-Large-Gift.jpg ! alt : Moet Chandon Campagne Large Gift ! title : Moet Chandon Campagne Large Gift ! desc : Moet Chandon Campagne Large Gift ! caption : Moet Chandon Campagne Large Gift",,https://www.cosmeagardens.com/product/moetchandon-75cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,
"Ouzo12 70cl",ouzo-12,,22486,,"A Spirit with a Greek Soul! This is why it appeal's to everyone's heart and is number one all over the world!",publish,,0,"2017-02-27 14:57:49",1,open,22486,,,,no,no,,22,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Ouzo-Spirit-Gift.jpg ! alt : Ouzo Spirit Gift ! title : Ouzo Spirit Gift ! desc : Ouzo Spirit Gift ! caption : Ouzo Spirit Gift",,https://www.cosmeagardens.com/product/ouzo-12/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,1||,,,2||,
